Clause,Section Title,Category,Classification,Explanation
"Der Arbeitnehmer versichert derzeit folgende weitere geringfügige Anstellungen auszuüben: Bei der Zusammenrechnung aller geringfügigen Beschäftigungen einschließlich dieser beträgt das Arbeitsentgelt nicht mehr als 450 € monatlich. Vor Aufnahme jeder weiteren entgeltlichen Tätigkeit oder deren Änderung ist der Arbeitgeber über Arbeitszeit, -entgelt und -geber zu informieren. Es wird ausdrücklich darauf hingewiesen, dass die Aufnahme weiterer Beschäftigungen oder deren Änderung zu einer umfassenden Sozialversicherungspflicht auch dieses Arbeitsverhältnisses führen kann. Der Arbeitgeber behält sich die Geltendmachung von Schadenersatzansprüchen vor, sofern ihm Nachteile auf Grund wahrheitswidriger Angaben des Arbeitnehmers über das Bestehen weiterer geringfügiger Beschäftigung entstehen.",§ 6 weitere Beschäftigungen,Vertragsstrafe/Wettbewerbsverbot,0,
"Der Arbeitnehmer hat die Möglichkeit sich jederzeit durch schriftliche Erklärung gegenüber dem Arbeitgeber vor seiner Versicherungspflicht in der gesetzlichen Rentenversicherung befreien zu lassen. Die Befreiung kann nur für die Zukunft und im Falle der Ausübung mehrerer geringfügiger Beschäftigungen nur einheitlich für alle Beschäftigungen erklärt werden. Die Befreiung hat für den Arbeitnehmer zur Folge, dass sein Entgelt von derzeit 3.9 % (Stand 01. 01.2013) an der Rentenversicherung entfällt, vom Arbeitgeber an ihn ausbezahlt wird und er nicht alle Ansprüche auf Leistungen der gesetzlichen Rentenversicherung erwirbt. Über die persönlichen Konsequenzen der Befreiung kann sich der Arbeitnehmer bei Deutschen Rentenversicherung beraten lassen.",§ 7 Befreiung von der Rentenversicherungspflicht,Sonstiges,0,
"Die Lohnsteuer wird in Höhe von zwei Prozent des Arbeitsentgeltes vom Arbeitgeber pauschal entrichtet und vom Arbeitsentgelt einbehalten, wenn der Arbeitnehmer nicht durch Vorlage seiner Lohnsteuerkarte die völlige Steuerfreiheit nachweist. In dem Pauschalbetrag sind Kirchensteuer und Solidaritätszuschlag enthalten.",§ 8 Lohnsteuer,Sonstiges,0,
"Der Arbeitnehmer hat Anspruch auf einen gesetzlichen Mindesturlaub von derzeit 20 Arbeitstagen im Kalenderjahr - ausgehend von einer Fünf-Tage-Woche. Der Arbeitgeber gewährt zusätzlich einen vertraglichen Urlaub von weiteren O Arbeitstagen. Bei der Gewährung von Urlaub wird zuerst der gesetzliche Urlaub eingebracht. Der Zusatzurlaub mindert sich für jeden vollen Monat, in dem der Arbeitnehmer keinen Anspruch auf Entgelt bzw. Entgeltfortzahlung hat oder bei Ruhen des Arbeitsverhältnisses um ein Zwölftel. Für den vertraglichen Urlaub gilt abweichend von dem gesetzlichen Mindesturlaub, dass der Urlaubsanspruch mit Ablauf des Übertragungszeitraums am 31.03. des Folgejahres auch dann verfällt, wenn er wegen Arbeitsunfähigkeit des Arbeitnehmers nicht genommen werden kann. Der gesetzliche Urlaub entfällt in diesem Fall erst 15 Monate nach Ende des Urlaubsjahres. Bei Ausscheiden in der zweiten Jahreshälfte wird der Urlaubsanspruch gezwölftelt, wobei die Kürzung allerdings nur insoweit erfolgt, als dadurch nicht der gesetzlich vorgeschriebene Mindesturlaub unterschritten wird. Bei Beendigung des Arbeitsverhältnisses sind verbleibende Urlaubsansprüche innerhalb der Kündigungsfrist abzubauen, soweit dies möglich ist. Die rechtliche Behandlung des Urlaubs richtet sich im Übrigen nach, den gesetzlichen Bestimmungen.",§ 9 Urlaub,Urlaub,0,
"Der Arbeitnehmer wird ab dem 19.04.2022 unbefristet im Telesales eingestellt. Der Arbeitnehmer wird als Mitarbeiter im Telesales eingestellt. Im Einzelnen richtet sich die Aufgabenverteilung nach den betrieblichen Erfordernissen des Arbeitgebers. Dem Arbeitgeber ist es insbesondere gestattet, dem Arbeitnehmer generell Tätigkeiten zuzuweisen, die im Rahmen des Agenturablaufes anfallen. Falls erforderlich, können ihm nach Abstimmung der beiderseitigen Interessen auch andere, seinen Kenntnissen und Fähigkeiten entsprechende, gleichwertige Tätigkeiten übertragen werden. Auch durch eine längere Beschäftigung mit bestimmten Arbeiten an einem bestimmten Arbeitsort wird dieser Vorbehalt nicht gegenstandslos. Insbesondere hat der Arbeitnehmer folgende Aufgaben durchzuführen:",1.1 Beginn und Art der Tätigkeit,Durchführung,0.5,Tätigkeiten müssen exemplarisch aufgelistet sein
"Der Arbeitnehmer verpflichtet sich, alle, während seiner Tätigkeit auf ihn zukommenden Aufgaben, gewissenhaft und nach bestem Vermögen zu erfüllen und in jeder Hinsicht die Interessen des Arbeitgebers zu wahren.",1.2 Beginn und Art der Tätigkeit,Leistungen,0,
"Der Arbeitnehmer hat den Arbeitgeber über alle Geschäftsvorgänge, die für diesen von Bedeutung sein können, zu unterrichten und bei allen wichtigen und außergewöhnlichen Maßnahmen die vorherige Zustimmung des Arbeitgebers einzuholen. Ohne besondere schriftliche Ermächtigung ist der Arbeitnehmer weder zur rechtsgeschäftlichen Vertretung noch zum Inkasso ermächtigt.",1.3 Beginn und Art der Tätigkeit,Durchführung,0,
"Der Arbeitnehmer verrichtet ganz oder wenigstens überwiegend so genannte Telearbeit, d. h. er arbeitet unter Verwendung von Informationstechnologie im Rahmen dieses Beschäftigungsverhältnisses. Die geschuldete Arbeit auf Grundlage dieses Vertrages wird in der Berliner Betriebsstätte des Arbeitgebers (betriebliche Arbeitsstätte) verrichtet. Die Ausübung, nämlich in den privaten Räumlichkeiten des Arbeitnehmers ist nicht gestattet.",1.4 Beginn und Art der Tätigkeit ,Durchführung,0,
"Der Arbeitnehmer erklärt, dass er zurzeit arbeitsfähig ist, an keiner ansteckenden Krankheit leidet und keine sonstigen Umstände vorliegen, die ihm die vertraglich zu leistende Arbeit jetzt oder in naher Zukunft wesentlich erschweren oder unmöglich machen.",1.5 Beginn und Art der Tätigkeit,Durchführung,0.5,"Auskünfte über bestimmte Ereignisse (geplante Schwangerschaft/Elternzeit, ...) sind nicht mitzuteilen, erst bei konkrten Anhaltspunkten"
"Wir freuen uns auf Sie und gehen davon aus, dass wir langfristig zusammen arbeiten. Eine ordentliche Kündigung vor Dienstantritt ist daher für beide Vertragsparteien ausgeschlossen. In diesem Fall sehen wir uns, aufgrund der mit der Neuaussschreibung verbundenen Kosten, gezwungen, eine Vertragsstrafe in Höhe eines halben Bruttomonatsgehaltes geltend zu machen.",1.6 Beginn und Art der Tätigkeit,Kündigung/Beendigung,0.5,Höhe der Vertragsstrafe
"Die Parteien sind sich darüber einig, dass Bedingung für den Abschluss und den Fortbestand dieses Arbeitsverhältnisses ist, dass der Arbeitnehmer sowohl eine gültige Aufenthalts- als auch Arbeitserlaubnis in und für Deutschland hat, die auf Anforderung des Arbeitgebers zu jeder Zeit vom Arbeitnehmer vorzulegen sind. Bei Wegfall einer dieser Erlaubnisse steht dem Arbeitgeber ein Recht zur außerordentlichen und fristlosen Kündigung dieses Arbeitsvertrages zu. Auf Verlangen des Arbeitgebers hat ihm der Arbeitnehmer unverzüglich ein aktuelles polizeiliches Führungszeugnis vorzulegen, bei Vorliegen der gesetzlichen Voraussetzungen auch ein erweitertes Führungszeugnis. Die Kosten dafür trägt der Arbeitgeber.",1.7 Beginn und Art der Tätigkeit,Sonstiges,0,
Während der Probezeit kann das Arbeitsverhältnis mit einer Frist von 2 Wochen gekündigt werden. Nach Ablauf der Probezeit kann das Arbeitsverhältnis beiderseitig mit einer Frist von vier Wochen zum Monatsende gekündigt werden. ,"10.1 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,Wiedergabe gesetzlicher Regelung
"Jede Kündigung bedarf zu ihrer Wirksamkeit der Schriftform, die elektronische Form ist ausgeschlossen.","10.2 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,Wiedergabe gesetzlicher Regelung
"Von dieser Verfallsklausel ausgenommen sind
a) Ansprüche, auf die die Arbeitsvertragsparteien nicht oder nicht ohne Beteiligung Dritter verzichten können,
b) Ansprüche auf gesetzliches Mindestentgelt,
c) Ansprüche aus der Verletzung des Lebens, des Körpers oder der Gesundheit des Arbeitnehmers,
d) Ansprüche, die auf einer vorsätzlichen oder grob fahrlässigen Pflichtverletzung des Arbeitgebers, eines gesetzlichen Vertreters oder Erfüllungsgehilfen des Arbeitgebers beruhen,
e) Ansprüche aus einer Haftung wegen Vorsatzes.",10.3 Ausschlussfristen,Verjährung,0,
"Eine fristlose Kündigung ist bei Vorliegen eines wichtigen Grundes möglich. Sollte diese fristlose Kündigung nicht wirksam sein, gilt sie hilfsweise als fristgerechte Kündigung zum nächstmöglichen Zeitpunkt.","10.3 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,
"Nach Ausspruch einer Kündigung - gleichgültig von welcher Seite - ist der Arbeitgeber berechtigt, den Arbeitnehmer im Rahmen einer Anrechnung bestehender oder noch entstehender Urlaubsansprüche oder sonstigen Freizeitausgleichsansprüchen von der Arbeit freizustellen. Mit der Freistellung ist der noch offene Urlaub bzw. sind offene Ansprüche auf Arbeitszeitguthaben, Überstunden etc. abgegolten. Übersteigt die Freistellungszeit die Resturlaubsdauer bzw. das restliche Zeitguthaben, Überstunden etc. muss sich der Arbeitnehmer gegenüber dem Vergütungsanspruch dasjenige anrechnen lassen, was er durch anderweitigen Einsatz seiner Arbeitskraft erwirbt oder zu erwerben böswillig unterlässt.","10.4 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,
"Das Arbeitsverhältnis endet, ohne dass es einer Kündigung bedarf, mit Ablauf des Monats, in dem der Arbeitnehmer das für ihn maßgebliche Regelrentenalter der gesetzlichen Rentenversicherung erreicht. Zuvor ist das Arbeitsverhältnis für beide Seiten jederzeit kündbar. Die Beantragung einer Rente ist dem Arbeitgeber unverzüglich anzuzeigen.","10.5 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,
"Das Arbeitsverhältnis endet ferner mit Ablauf des Monats, in dem der Bescheid eines Rentenversicherungsträgers (Rentenbescheid) zugestellt wird, wonach der Arbeitnehmer voll oder teilweise erwerbsgemindert ist. Zuvor ist das Arbeitsverhältnis für beide Seiten jederzeit kündbar. Der Angestellte hat die Firma von der Zustellung des Rentenbescheids unverzüglich zu unterrichten. Beginnt die Rente erst nach der Zustellung des Rentenbescheids, endet das Arbeitsverhältnis mit Ablauf des dem Rentenbeginn vorangehenden Tages. Liegt im Zeitpunkt der Beendigung des Arbeitsverhältnisses eine nach § 92 SGB IX erforderliche Zustimmung des Integrationsamts noch nicht vor, endet das Arbeitsverhältnis mit Ablauf des Tages der Zustellung des Zustimmungsbescheids des Integrationsamts. Das Arbeitsverhältnis endet nicht, wenn nach dem Bescheid des Rentenversicherungsträgers eine Rente auf Zeit gewährt wird. In diesem Fall ruht das Arbeitsverhältnis für den Zeitraum, für den eine Rente auf Zeit gewährt wird.","10.6 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,
"Im Falle teilweiser Erwerbsminderung endet bzw. ruht das Arbeitsverhältnis nicht, wenn der Arbeitnehmer nach seinem vom Rentenversicherungsträger festgestellten Leistungsvermögen auf seinem bisherigen oder einem anderen geeigneten und freien Arbeitsplatz weiterbeschäftigt werden könnte, soweit dringende dienstliche bzw. betriebliche Gründe nicht entgegenstehen, und der Arbeitnehmer innerhalb von zwei Wochen nach Zugang des Rentenbescheids seine Weiterbeschäftigung schriftlich beantragt. Verzögert der Arbeitnehmer schuldhaft den Rentenantrag oder bezieht er Altersrente nach § 236 oder § 236a SGB VI oder ist er nicht in der gesetzlichen Rentenversicherung versichert, so tritt an die Stelle des Rentenbescheids das Gutachten eines Amtsarztes oder eines anderen, mit der Firma abzustimmenden, geeigneten Arztes. Das Arbeitsverhältnis endet in diesem Fall mit Ablauf des Monats, in dem dem Arbeitnehmer das Gutachten bekannt gegeben worden ist.","10.7 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0.5,
"Der Arbeitnehmer ist verpflichtet, auf Verlangen des Arbeitgebers im Rahmen seiner vertraglichen Arbeitsverpflichtungen einen anderen Mitarbeiter als Nachfolger einzuarbeiten.","10.8 Beendigung des Arbeitsverhältnisses, Freistellung",Leistungen,0,
"Personen, deren Arbeitsverhältnis endet, sind verpflichtet, sich spätestens 3 Monate vor dessen Beendigung persönlich bei der Agentur für Arbeit arbeitsuchend zu melden. Liegen zwischen der Kenntnis des Beendigungszeitpunktes und der Beendigung des Arbeitsverhältnisses weniger als 3 Monate, hat die Meldung innerhalb von 3 Tagen nach Kenntnis des Beendigungszeitpunktes zu erfolgen.","10.9 Beendigung des Arbeitsverhältnisses, Freistellung",Kündigung/Beendigung,0,
"Alle beiderseitigen Ansprüche aus dem Arbeitsverhältnis und solche, die mit dem Arbeitsverhältnis in Verbindung stehen, verfallen, wenn sie nicht innerhalb von drei Monaten nach Fälligkeit gegenüber der anderen Vertragspartei in Textform geltend gemacht werden. Die Ausschlussfrist beginnt, wenn der Anspruch entstanden ist und der Anspruchsteller von den anspruchsbegründenden Umständen Kenntnis erlangt oder grob fahrlässig keine Kenntnis erlangt hat. Die Nichteinhaltung dieser Ausschlussfrist führt zum Verlust des Anspruchs.",11.1 Ausschlussfristen,Verjährung,0,
"Wird der geltend gemachte Anspruch abgelehnt oder erfolgt eine Stellungnahme nicht innerhalb von 2 Wochen nach Geltendmachung, so verfällt er, wenn er nicht innerhalb von 3 weiteren Monaten nach Ablehnung oder Fristablauf gerichtlich durch Klage geltend gemacht wird. Eine Klage gegen eine etwaige Kündigung (Kündigungsschutzklage) verhindert nicht den Verfall dieser Ansprüche.",11.2 Ausschlussfristen,Verjährung,0,
"Nimmt der Arbeitnehmer vorsätzlich oder fahrlässig die Arbeit nicht oder verspätet auf oder kündigt er das Anstellungsverhältnis außerordentlich, ohne dass ein wichtiger Grund für eine solche Kündigung vorliegt, oder veranlasst der Arbeitnehmer durch vertragswidriges Verhalten die außerordentliche Kündigung des Anstellungsverhältnisses durch den Arbeitgeber, so hat der Arbeitnehmer an den Arbeitgeber eine Vertragsstrafe zu zahlen.",12.1 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
"Für den Fall des Nichtaufnehmens der Arbeit gemäß Abs. 1 beträgt die Vertragsstrafe die Bruttovergütung gemäß § 5 Abs. 1, welche der Arbeitnehmer bei Einhaltung der vertraglichen Mindestkündigungsfrist nach § 10 Abs. 1 erhalten hätte.",12.2 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
Für den Fall der verspäteten Arbeitsaufnahme gemäß Abs. 1 beträgt die Vertragsstrafe für jeden Tag der verspäteten Arbeitsaufnahme (z. B. ohne vorherige Arbeitsunfähigkeitsmeldung) die auf einen Tag entfallende Bruttovergütung gem. § 5 Abs. 1; maximal beträgt die Vertragsstrafe ein Bruttomonatsgehalt.,12.3 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
"Für den Fall der außerordentlichen Kündigung des Anstellungsverhältnisses nach Abs. 1 ohne wichtigen Grund beträgt die Vertragsstrafe eine monatliche Bruttovergütung gem. § 5 Abs. 1; maximal beträgt die Vertragsstrafe jedoch die Bruttovergütung, welche der Arbeitnehmer bei Einhaltung der jeweiligen Kündigungsfrist erhalten hätte.",12.4 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
"Für den Fall der von dem Arbeitnehmer durch vertragswidriges Verhalten veranlassten außerordentlichen Kündigung des Anstellungsverhältnisses durch den Arbeitgeber nach Abs. 1 beträgt die Vertragsstrafe eine monatliche Bruttovergütung gemäß § 5 Abs. 1; maximal beträgt die Vertragsstrafe jedoch die Bruttovergütung, welche der Arbeitnehmer bei Einhaltung der jeweiligen Kündigungsfrist erhalten hätte.",12.5 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
"Das Recht des Arbeitgebers, einen weiter gehenden Schaden geltend zu machen, bleibt unberührt.",12.6 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0,
Für den Fall der Zuwiderhandlung gegen § 7 Abs. 3 dieses Arbeitsvertrages wird eine Vertragsstrafe in Höhe von 1/6 des Jahresgehaltes verwirkt. Bei einem Dauerverstoß (Beteiligung oder Tätigkeit länger als 1 Monat) ist die Vertragsstrafe für jeden Monat neu verwirkt. Weitergehende Ansprüche des Arbeitgebers und insbesondere die Geltendmachung von Schadensersatzansprüchen bleiben unberührt.,12.7 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0.5,"Kommt auf Tätigkeit an, ob wirksam"
"Während des Arbeitsverhältnisses ist dem Arbeitnehmer aus allgemeinen rechtlichen Bestimmungen, insbesondere auch aus der vertraglichen Treuepflicht, jede Förderung der Wettbewerber des Arbeitgebers untersagt. Dies gilt auch für die Kontaktaufnahme zu Wettbewerbern während der Dauer des Beschäftigungsverhältnisses, mit denen eine nachvertragliche Förderung angebahnt werden könnte. Ein nachvertragliches Wettbewerbsverbot wird nicht vereinbart. Es wird aber vertraglich vereinbart, dass der Arbeitnehmer auch nachvertraglich absolutes Stillschweigen über alle Geschäfts- und Betriebsgeheimnisse des Arbeitgebers zu wahren hat, die er während des Beschäftigungsverhältnisses in Erfahrung gebracht hat. Ergänzend wird ausdrücklich auf die §§ 17 ff. UWG hingewiesen. Im Falle des Ausscheidens ist die Mitnahme und das Abwerben von Kunden ausdrücklich untersagt. Im Falle des Zuwiderhandelns verpflichtet sich der Arbeitnehmer zu der Zahlung eines Schadensersatzanspruches.",12.8 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0.5,Ggf. nicht transparent genug
"Der Arbeitnehmer verpflichtet sich, während sowie bis zwei Jahre nach Beendigung dieses Vertrages, keine Mitarbeiter des Arbeitgebers in der unlauteren Absicht, den Arbeitgeber als Mitbewerber zu behindern oder in der Absicht einer ernsthaften Beeinträchtigung des Arbeitgebers direkt oder indirekt abzuwerben.",12.9 Vertragsstrafen,Vertragsstrafe/Wettbewerbsverbot,0.5,
"Die Tätigkeit des Arbeitnehmers kann mit Dienstreisen verbunden sein, die der Arbeitgeber anordnen kann. Der Besitz einer gültigen Fahrerlaubnis ist fester Bestandteil dieses Anstellungsvertrages. Der Arbeitnehmer hat dem Arbeitgeber den Entzug der Fahrerlaubnis unverzüglich anzuzeigen. Sind dem Arbeitnehmer solche Tatsachen bekannt, die zu Entzug der Fahrerlaubnis führen oder führen können, sind diese dem Arbeitgeber ebenfalls unverzüglich anzuzeigen.",13.1 Dienstreisen und Reisekosten,Leistungen,0,
Der Arbeitnehmer bekommt vom Arbeitgeber veranlasste Reisekosten nach den geltenden steuerlichen Sätzen vergütet.,13.2 Dienstreisen und Reisekosten,Vergütung,0,
"Für vom Arbeitgeber im Rahmen der Beschäftigung veranlasste Fahrten mit dem eigenen PKW werden dem Arbeitnehmer 0,30 € pro gefahrenen Kilometer ersetzt. Der die steuerfreie Erstattung übersteigende Betrag wird der Lohnsteuer und ggf. der Sozialversicherung unterworfen.",13.3 Dienstreisen und Reisekosten,Vergütung,0,
"Mündliche Nebenabreden bestehen nicht. Änderungen, Ergänzungen und die Aufhebung dieses Vertrages bedürfen zu ihrer Wirksamkeit der Schriftform. Dies gilt auch für die Änderung dieser Schriftformklausel selbst. Ausgeschlossen sind damit insbesondere Vertragsänderungen durch betriebliche Übung. Das Schriftformerfordernis gilt nicht für Änderungen und Ergänzungen, wenn der Arbeitgeber dem Arbeitnehmer ausdrücklich oder konkludent mitteilt, dass eine Vereinbarung auch ohne Einhaltung der Schriftform bindend sein soll.",13.3 Schlussbestimmungen,Form,0.5,ggf. Textform
Ein Ersatz für die Fahrt zwischen Wohnort und Betriebsstätte wird ausgeschlossen.,13.4 Dienstreisen und Reisekosten,Vergütung,0,
"Im Übrigen gelten die für den Betrieb jeweils einschlägigen Betriebsvereinbarungen/-ordnungen, Arbeitsanordnungen und Dienstanweisungen in ihrer jeweils gültigen Fassung. Dies gilt auch dann, wenn sie nach Abschluss des Vertrages geändert werden und für den Arbeitnehmer ungünstiger sind als die Regelungen in diesem Vertrag. Alle Betriebsvereinbarungen, Arbeitsanordnungen und Dienstanweisungen können in dem Personalbereich eingesehen werden.",13.4 Schlussbestimmungen,Durchführung,0,
"Sollten Bestimmungen dieses Vertrages oder eine künftig hier aufgenommene Bestimmung ganz oder teilweise nicht rechtswirksam oder nicht durchführbar sein oder ihre Rechtswirksamkeit oder Durchführbarkeit später verlieren, so soll hierdurch die Gültigkeit der übrigen Bestimmungen dieses Vertrages nicht berührt werden. Das Gleiche gilt, soweit sich herausstellen sollte, dass der Vertrag eine Regelungslücke enthält. Anstelle der unwirksamen oder undurchführbaren Bestimmungen oder zur Ausfüllung der Lücke soll eine angemessene Regelung gelten, die, soweit rechtlich möglich, dem am nächsten kommt, was die Vertragsparteien gewollt haben oder nach dem Sinn und Zweck dieses Vertrages gewollt hätten, sofern sie bei Abschluss des Vertrages oder bei der späteren Aufnahme einer Bestimmung den Punkt bedacht hätten.",13.5 Schlussbestimmungen,Sonstiges,0,
"Der Vertrag wird in zwei Ausfertigungen erstellt, von denen jede Partei eine erhalten hat.",13.6 Schlussbestimmungen,Sonstiges,0,
"Die Parteien sind sich darüber einig, dass mit der Aushändigung dieses Vertrages die Nachweispflichten nach dem NachwG erfüllt sind.",13.7 Schlussbestimmungen,Sonstiges,0,
"Der Arbeitnehmer versichert, dass alle bei der Bewerbung gemachten Angaben der Wahrheit entsprechen. Wissentlich falsche Angaben berechtigen den Arbeitgeber zur fristlosen Kündigung bzw. zur Anfechtung des Arbeitsvertrages.",14.1 Schlussbestimmungen,Kündigung/Beendigung,1,"wissentlich falsche Angaben berechtigen nicht zur Kündigung, wenn kein Auskunftsanspruch besteht oder ein anderer Grund zur berechtigten Falschangabe vorliegt"
Angaben des Arbeitnehmers im Einstellungsfragebogen bzw. Personalfragebogen sind wesentliche Bestandteile des Arbeitsvertrages.,14.2 Schlussbestimmungen,Sonstiges,0,
Der Telearbeitsplatz befindet sich in den betrieblichen Räumen des Arbeitgebers. Der betreffende Raum ist abschließbar.,2.1 Häusliche / betriebliche Arbeitsstätte,Durchführung,0,
Der Raum mit dem Telearbeitsplatz befindet sich aktuell:,2.2 Häusliche / betriebliche Arbeitsstätte,Durchführung,0,
"Für die Zeiten, zu der die Arbeitspflicht des Arbeitnehmers in der betrieblichen Arbeitsstätte zu erfüllen ist, stellt der Arbeitgeber dem Arbeitnehmer einen geeigneten Arbeitsplatz zur Verfügung. Einen Anspruch auf einen persönlichen Arbeitsplatz im Betrieb des Arbeitgebers steht dem Arbeitnehmer nicht zu.",2.4 Häusliche / betriebliche Arbeitsstätte,Durchführung,0.5,"Kommt darauf an, ob Betriebsrat im Unternehmen oder nicht."
Die ersten drei Monate der Beschäftigung (tatsächliche Beschäftigung) gelten als Probezeit. Während der Probezeit kann das Arbeitsverhältnis beiderseits und jederzeit mit einer Frist von 2 Wochen gekündigt werden.,3 Probezeit,Kündigung/Beendigung,0,
